exclusion_factor,stopping_criterion,self_loop_weight,same_image_score,same_set_boost,maximum_time_delta,minimum_same_set_weight,inflation_factor,maximum_iterations,expansion_factor,multiplication_factor,autochip_runtime,autoquery_runtime,clustering_runtime,AutoChip done,AutoQuery done,Clustering done,Date/Time
0.75,0.6,0,0.9,0.8,90,0.25,1.23,2000,3,2,59.40000009536743,0,0,1,0,0,2018-07-02 22:58:15.054000
0.75,0.6,0,0.9,0.8,90,0.25,1.23,2000,3,2,59.09500002861023,0,0,1,0,0,2018-07-02 22:59:21.843000
