# name table
# NumData 18
#   nid,         name
      2,        cat_6
      3,        cat_1
      4,        cat_2
      5,        cat_4
      6,        cat_3
      7,        cat_4
      8,        cat_7
      9,        cat_4
     10,        cat_4
     11,        cat_4
     12,         cat1
     13,     cat1cat2
     14,         cat1
     15,    cat1_cat2
     16,  cat_4_cat_5
     17,  cat_4/cat_5
     18,        cat_5
     19,        cat_8
