# name table
# NumData 18
#   nid,  name
      2,     1
      3,     2
      4,     3
      5,     4
      6,     5
      7,     6
      8,     7
      9,     8
     10,     9
     11,  Cat0
     12,  Cat1
     13,  Cat2
     14,  Cat3
     15,  Cat4
     16,  Cat5
     17,  Cat6
     18,  Cat7
     19,  Cat8
